PS Name,Firm Capacity (MVA),Demand (MVA),PF,"Geo(Long,Lat)",GSP,DNO,RegID,RegName,Household no,NearestZone0,NearestZone1,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,"Solid fuel (for example wood, coal) central heating",Other central heating,Two or more types of central heating,District or communal heat networks only,Renewable energy only,Tank or bottled gas only,Two or more types of central heating (including renewable energy),Two or more types of central heating (not including renewable energy),Wood only
peterborough north grid,43.2,42.79824000000001,,"-0.31002429407516213,52.611799806407014",Walpole,UKPN,E12000006,East of England,26924.908793976054,E02003237,E02003247,245.7799301513986,20867.326075616376,1180.5669506604547,1920.9801744902325,42.49875731161011,251.34362297972473,,140.0128266817875,75.61705568105485,299.3754624241347,213.2283465428565,2045.8941405482985,9.474138759225283
peterborough south grid,44.1,26.08515,,"-0.28107418013994434,52.551666583799324",Walpole,UKPN,E12000006,East of England,16410.4945583553,E02003257,E02006877,148.59751617759088,13265.741642616593,1124.2090682625317,50.54179412522964,2.1769011236563647,176.6550130575003,,80.68314496397025,36.91036404301991,96.19114171006606,153.5924779381554,1338.6872372421776,0.0
hornsey grid,22.7,21.12462,,"-0.12772506549087348,51.583242995833274",Tottenham,UKPN,E12000007,London,13449.42909543264,E02000418,E02000429,208.88409430538474,11142.753664803638,733.5225466564449,5.431192924969016,0.0,105.63259461352567,,228.41945439698253,17.738474967115327,43.930746695997385,53.14597687914312,927.4261289140775,2.6987157469509477
colindale grid,36.3,30.11085,,"-0.2548714263842164,51.5926316679159",Mill Hill,UKPN,E12000007,London,19170.699500308547,E02006954,E02000094,283.18175312380055,10949.210116891178,3348.2504879697685,23.30551304288664,2.8859218479390543,470.901947646519,,1384.6690498502203,70.6797547641627,105.34324855339315,65.15770631108042,1556.8960385968426,0.0
holywell grid,31.9,31.34175,,"-0.41478810940223504,51.64542385196135",Watford South,UKPN,E12000006,East of England,19717.4874526055,E02004978,E02004977,397.2282689437703,13863.406333708064,2969.1710448894178,12.28598450789804,3.0427471001850166,273.46855511735214,,170.18660504080955,14.330884028245006,146.14178440108043,51.52385417357994,1494.0769176262456,0.0
nacton primary,13.6,7.493599999999999,,"1.2308763666500473,52.016628687378784",Bramford,UKPN,E12000006,East of England,4714.31761069004,E02006297,E02006258,44.771866736295785,3776.5828735395708,292.5796573977143,84.89252655852069,2.156357369253088,34.495821048951484,,7.265611416276558,14.895643969609914,58.68903283054497,39.895276038265536,391.78863384341486,3.60533405382667
warren heath,12.2,11.39968,,"1.2403863099944819,52.03767627622994",Bramford,UKPN,E12000006,East of England,7171.681458875712,E02006295,E02006297,41.51985382244096,5882.064062879241,331.4106177193695,201.8185322890512,5.289140805668115,20.30682935991063,,15.682642072114062,23.914620098022596,84.33964353472317,75.63080044938316,567.7198662194783,11.673036227185872
bury grid,17.8,16.500600000000002,,"0.7532970037553253,52.20933157410684",Bramford,UKPN,E12000006,East of England,10380.734115372063,E02006277,E02006281,100.97116446096811,8241.774483421495,899.3164113707016,209.43133606129032,0.0,34.865945107472456,,25.890784740413586,34.743386023119335,36.90645511024591,79.51635236564556,740.305211937016,6.166799024509081
cornard primary,10.7,7.800299999999999,,"0.7416619130696874,52.00312400368444",Pelham,UKPN,E12000006,East of England,4907.266421835368,E02006234,E02006233,57.597289855380815,3820.055441824081,407.95906594410695,135.15408461391942,2.2314841694767376,19.471442404280303,,11.278114487075792,13.1374461098374,22.507209507407104,34.63759536707209,398.16132446084345,3.357848463967112
icklingham primary,6.6,5.56314,,"0.5932325707076026,52.319197515184186",Bramford,UKPN,E12000006,East of England,3499.8410473916665,E02006241,E02006280,35.20124472708836,1459.4513241006202,328.17645506546233,1196.337381395838,11.720131847615725,17.180907245937956,,0.9477530019818408,75.51369458269922,79.25810797694828,33.95886714890139,330.22562290959286,10.816738945762664
manor road primary,10.8,8.56872,,"1.2723982038496269,52.12869332043659",Bramford,UKPN,E12000006,East of England,5390.689067613959,E02006292,E02006294,65.0372379722443,2976.0046435981562,423.0146157239208,1084.2628101950127,15.770028637578774,22.934302987718862,,11.217472231546319,96.5568209620683,119.50521719580694,76.6501317223366,566.5208931897919,18.456752791215102
stowmarket grid,24.0,23.8992,,"1.0204183729284022,52.175984248558144",Bramford,UKPN,E12000006,East of England,15035.286036271407,E02006270,E02006268,124.59586075478495,11986.096775112992,1101.2983256531807,564.0602599221369,7.787884158698694,56.063182269119736,,39.36064183439122,53.18566692925284,63.58826170292889,75.09539887699103,1063.0497544705245,3.9062992570205375
sudbury primary,11.3,13.01195,,"0.7203507535646488,52.055361476618494",Pelham,UKPN,E12000006,East of England,8185.980708126705,E02006229,E02006233,95.91225512752081,6145.085564258278,736.8596461565716,331.7603144343171,6.4232258698048375,31.76034232931722,,30.29930447716032,31.26084819510381,34.96386260701829,52.369118940988244,704.211525323713,5.369674640676364
lakenheath primary,11.3,11.59945,,"0.5551504752588557,52.382671647619695",Bramford,UKPN,E12000006,East of England,7297.359267817682,E02006239,E02006241,103.24690662791134,3380.1764953678594,1225.6325641015865,1695.9881126197631,12.849818444337224,66.34044927303535,,10.82401610668504,129.1108781875715,89.48980101002142,44.323944465441336,517.8209143073401,12.890596526374273
newmarket primary,13.0,12.3955,,"0.4016920964127455,52.2074583807532",Burwell,UKPN,E12000006,East of England,7798.164292637503,E02006825,E02006826,89.77206434309818,4602.113590678896,719.6763897356527,1436.0189274581492,10.073328762610704,36.135705402951515,,33.94098469071585,84.34466269222797,80.63624699191189,53.69955106605558,717.4892869642795,19.087781014356267
orford primary,2.4,2.67696,,"1.5093039674792528,52.10345015484029",Bramford,UKPN,E12000006,East of England,1684.109062548416,E02006293,E02006289,22.316305206894544,647.3763631825204,220.87823143627466,469.98313727372897,4.359013181412628,6.3392991431705115,,1.398782894848872,38.5187543134282,45.660736696422624,24.994752304768173,206.16862576984414,13.118538697992205
stanton primary,9.5,8.700099999999999,,"0.8733318154898055,52.321720994138914",Bramford,UKPN,E12000006,East of England,5473.341871031869,E02006273,E02006274,70.86636496251252,2249.208409863646,302.5401812717064,2145.2073057612533,26.9923475883078,16.305875764040664,,13.991965666521875,65.52080619536201,115.68148189125098,34.182618991816796,581.3507883167994,31.243853178018803
tivetshall primary,6.7,6.60017,,"1.168764655469859,52.44295727649137",Bramford,UKPN,E12000006,East of England,4152.249608272136,E02005610,E02005607,51.76274935436476,555.4061112841565,498.2868134173468,2252.7872099464407,15.031906432680037,17.332534393092274,,1.4470963532292553,163.34117477134217,107.26496902579989,80.80644395231191,500.71037901120604,29.62066099190809
haverhill primary,20.4,20.15112,,"0.4306281178813501,52.057000282215014",Pelham,UKPN,E12000006,East of England,12677.32196689552,E02006286,E02006284,104.22697302794913,10475.468207958458,778.4706704374689,195.52681187916676,8.725076224545951,80.70109158434315,,30.574122314789676,44.38130922687586,51.96362781619894,75.51392377156239,926.7670080435089,3.501105879734751
bentwaters primary,6.9,7.30572,,"1.452399482266892,52.13705216951542",Bramford,UKPN,E12000006,East of England,4596.119949659768,E02006293,E02006289,60.9036658284448,1766.761716286311,602.8011300014273,1282.6359772441226,11.896229222591995,17.300648697120494,,3.8174332715301307,105.12194196502699,124.61320202684712,68.21344428306398,562.6569887705703,35.80194344954561
