PS Name,Firm Capacity (MVA),Demand (MVA),PF,"Geo(Long,Lat)",GSP,DNO
littleborough,17.5,12.153026595812193,0.9941148725435832,"-2.1040108706794545,53.64158369495698",ROCHDALE,ENW
longford bridge,22.863,11.343268862153609,0.9973025815678608,"-2.3017872991007735,53.45212376855961",SOUTH MANCHESTER,ENW
longridge,22.863,11.020155650872768,0.9985553939115911,"-2.6003605514369528,53.82776916162984",PENWORTHAM ,ENW
longsight,22.863,18.093970037188296,0.9980191047280782,"-2.2193285575786006,53.46087879204688",BREDBURY,ENW
lostock,32.0,21.64748327897499,0.9977438452780407,"-2.525638399303571,53.57715112562259",KEARSLEY,ENW
lower darwen,20.5,9.144808930911102,0.9711395806437831,"-2.4607154315949002,53.72035030557156",ROCHDALE,ENW
lyons rd,22.863,7.92351013687103,0.9827848469303849,"-2.3290868028428138,53.4714488324846",CARRINGTON,ENW
marple,6.0,4.460977463337294,0.9996563339684573,"-2.066563483902575,53.39460078686534",BREDBURY,ENW
marton,22.9,13.728475733251935,0.9852776141465142,"-3.0133882144873665,53.793387170469714",PENWORTHAM ,ENW
maryport,23.0,9.30376380208087,0.9870961079359174,"-3.4957147978255048,54.703595244683605",HARKER,ENW
medipark,32.0,3.9819848066008485,0.95,"-2.294994702567092,53.386766936861555",CARRINGTON,ENW
melling,4.0,2.2452,0.999499976634979,"-2.611544814102837,54.139069168997516",HUTTON,ENW
mereside,16.24,8.417030079036984,0.9977172336451821,"-2.9971339773486587,53.80572966311931",PENWORTHAM ,ENW
middleton junction,23.0,14.280287097934558,0.9912026440524315,"-2.1734153348616587,53.54414211413529",WHITEGATE,ENW
midway,15.0,5.2794929443835,0.9815582819486819,"-3.4723397533953677,54.404408385715534",HARKER,ENW
milnrow,22.86,10.465783400864662,0.997526769135987,"-2.117093545699108,53.61399573429564",ROCHDALE,ENW
mintsfeet,21.0,14.264159171960928,0.9890882946082469,"-2.742487244243751,54.34209780600669",HUTTON,ENW
monsall,18.0,10.65040576643583,0.9499967610053889,"-2.2075428308119682,53.50553650241011",STALYBRIDGE,ENW
monton,17.5,10.37878818900675,0.9982972326483283,"-2.3583625598150935,53.491615619759834",CARRINGTON,ENW
moorside,17.5,8.530242502681206,0.9975482379794757,"-2.771055246303306,53.81551299185253",PENWORTHAM ,ENW
morton park & pirelli,28.2,18.078357210083567,0.9926,"-2.97048287640245,54.87632973471566",HARKER,ENW
mosley rd,22.863,11.551403183141572,0.9792310393088816,"-2.3168958778388222,53.46292476097196",SOUTH MANCHESTER,ENW
moss lane,22.863,19.8165218400414,0.9991311116791076,"-2.2903722864207707,53.54898452631617",KEARSLEY,ENW
moss nook primary,32.0,12.709456877726568,0.9925577348950942,"-2.240621616082344,53.36172088333762",SOUTH MANCHESTER,ENW
moss side (leyland) & seven stars,21.15,16.489528782203635,0.9807,"-2.7259561602550937,53.70096086519453",PENWORTHAM ,ENW
moss side (longsight),20.5,18.4581953307596,0.9890177121605637,"-2.2423345802708297,53.459539956515336",BREDBURY,ENW
mossley,22.863,11.337028606786383,0.9894741536139936,"-2.040120208612765,53.51448295883869",STALYBRIDGE,ENW
mount st,22.863070659909177,10.24567959815152,0.9972891970584766,"-2.35928671533955,53.47435495672628",CARRINGTON,ENW
musgrave rd,21.88,11.799835340708933,0.9960137813083164,"-2.4539489963167593,53.584491650766516",KEARSLEY,ENW
nelson,22.86,14.970397898952331,0.9915985193736437,"-2.2139500505778478,53.84261717966359",PADIHAM,ENW
new moston,22.863,11.168610017365634,0.998738331375159,"-2.1774359254640943,53.52045185522015",WHITEGATE,ENW
newbiggin on lune,1.5,0.9759,0.949956188776922,"-2.4676797468185354,54.446720615398476",HUTTON,ENW
newby,7.0,5.490903513445517,0.9743563885119155,"-2.6123749008521013,54.58400681901861",HUTTON,ENW
newton,16.0,4.343983425382744,0.9640908826442898,"-2.055919086169276,53.464905429979595",STALYBRIDGE,ENW
newton heath,12.0,7.656655234012404,0.952590228360413,"-2.1819231202045906,53.50115599094051",WHITEGATE,ENW
newton le willows,22.863,13.438793400149292,0.9774144842954454,"-2.6356508077663547,53.45855247716056",BOLD,ENW
newtongate t11 & t12,23.0,16.859207382232572,0.9499989311325191,"-2.777122920593739,54.66564223110627",HUTTON,ENW
newtongate t13,13.25,6.76598299249736,0.9752262293141544,"-2.777122920593739,54.66564223110627",HUTTON,ENW
norbreck,22.863,4.1687688421981415,0.9765491163526651,"-3.038078090075704,53.86488501919954",PENWORTHAM ,ENW
norbury,22.863,11.908499349668826,0.9914518562754071,"-2.1149689364635793,53.36624083273527",BREDBURY,ENW
northenden,17.5,9.07880060572248,0.9953623445666449,"-2.263892201798323,53.40946407334044",SOUTH MANCHESTER,ENW
nwgb partington,16.06,4.251789111625956,0.9988031671336808,"-2.414262226467201,53.42478483068199",CARRINGTON,ENW
offerton,17.5,7.482496658440222,0.9908288462260902,"-2.136679144584974,53.402145288383",BREDBURY,ENW
openshaw,17.5,14.386841184846245,0.9960827122887154,"-2.1731236076226037,53.47272067402321",STALYBRIDGE,ENW
