X,Y,FID,MSOA21CD,GlobalID
576573.2468,130589.856899999,182,E02005175,1326c868-ee3d-48b9-b351-c4f6e123c5dc
530030.3051,171376.0352,183,E02000649,5d78720f-990b-46c7-82a0-13dd8496c346
372628.2766,165445.385199999,184,E02002992,87376e0d-156c-46d4-9b87-9a6bc1a427cb
246992.6237,54960.9429000001,185,E02006989,2ba621ef-3e31-4da2-bd32-22cf7f508b71
530574.3977,104994.1218,186,E02003514,441d3b6e-ddb0-4dff-8552-5b4a4e8f52f2
528061.7988,148591.1961,187,E02006388,5e07d6b8-4644-4a9c-8c40-267503c05dea
244694.2673,58143.3286000006,188,E02003130,31b4848a-09e8-48eb-a8f1-b7c697f0d000
533410.5303,103694.870100001,189,E02003522,67dc3b18-6d7a-4ffc-8cba-5ef81961421b
507652.2665,164801.284,190,E02006328,c3e8122f-7e4a-404e-88a5-cf26ace27fc2
520821.7701,177765.8375,191,E02000532,61728f7d-597e-41ad-9208-311b64f13e24
413320.7405,284670.8486,192,E02001902,0602c61e-1c77-453e-b35b-c395c317c865
525269.3698,173163.074200001,193,E02000947,0a7f6427-094c-4b20-9bec-f388680768c2
332925.4113,159946.106000001,194,E02003085,4c27309f-f2d0-48d9-b300-0420df8a6e0e
526015.5307,164678.6061,195,E02000851,abe1b237-4ba5-4589-b719-e4f3f2b917b2
472761.4278,176438.707,196,E02003389,c5a51c17-8891-4340-8dd8-e4af227e0129
480296.5289,135220.411,197,E02004702,a78fc723-9a87-4c97-ad2b-501481e0c87f
529351.1821,183863.882099999,198,E02000184,aa9f9fe4-3a0e-4874-807e-a0fa1b89db36
522224.8562,179781.4209,199,E02000377,ad48c228-946e-4b86-b7a8-460dbd6a96be
389893.2954,177730.5832,200,E02006651,33ba76e1-6d4f-4b02-b7bd-f3a76f557eb3
342865.4447,165901.3397,201,E02003076,d76d4fdc-2367-4f30-8dba-7df37b4d2482
503359.2532,168365.0307,202,E02006396,aefeebcf-e81a-4ae7-b9ec-3033371c3c86
534571.7283,189700.346000001,203,E02000411,da58a776-4419-4ecb-9ff1-1e85cfd3248a
244982.568,129445.1186,204,E02004220,6627eb1b-f59b-4fab-aae1-c1fff22f9290
562635.3818,104452.4356,205,E02004422,385ae919-80f8-4c46-b0f9-5bc0546a0668
224928.7514,64390.0614999998,206,E02003896,6c17df88-dca3-403f-b2fc-f53acd5fd961
529968.0525,185477.405999999,207,E02000563,9da461ab-09c2-46bb-bcae-b7e661095624
538395.8477,162753.692399999,208,E02000225,6f6d1419-4b7f-474f-9439-e8684aba6d5e
551030.216,172117.9526,209,E02005037,af901aad-c315-45b3-b6d8-44ddfa25f9d4
543736.4712,185679.657299999,210,E02000782,f989191d-5e51-4085-8806-528fd4c5c642
514138.537,103530.702,211,E02006628,9f910199-adce-41c0-b9b8-a16b962f5ca3
633727.0349,169879.2413,212,E02005136,34d18421-69cf-4fd5-a9f3-b2f7ee0d8175
414405.9344,286288.139599999,213,E02001888,06301446-879b-41b7-8712-a8e32c916d48
535922.3947,182646.6139,214,E02000873,a105cab0-e0d5-4bfe-a8c5-7eeb3da081b1
489302.483,150864.512700001,215,E02006353,34b896af-ee01-4e4e-a252-d63a53500a39
442569.1149,114668.1831,216,E02003557,d68d5cc6-8c2c-40ee-9891-8d87628ba40e
528063.8545,105550.6426,217,E02003506,7ea47da6-fcc5-4d80-84df-aaa07dce64c5
