Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01011698",271,4,248,9,-,2,2,6
"S01011699",387,2,369,8,-,-,1,7
"S01011700",354,4,331,7,-,3,1,8
"S01011701",444,5,425,5,1,-,1,7
"S01011702",335,3,304,13,1,3,-,11
"S01011703",255,2,219,9,13,5,-,7
"S01011704",274,-,264,5,1,-,-,4
"S01011705",318,3,307,6,1,-,-,1
"S01011706",450,2,429,7,1,3,1,7
"S01011707",283,-,274,6,2,-,-,1
"S01011708",448,5,428,4,-,1,2,8
"S01011709",370,4,347,5,2,3,2,7
"S01011710",257,1,239,2,-,-,-,15
"S01011711",321,2,303,3,-,2,2,9
"S01011712",294,5,196,90,-,1,-,2
"S01011713",389,2,374,7,-,-,1,5
"S01011714",194,-,189,1,-,1,-,3
"S01011715",297,1,269,17,-,3,1,6
"S01011716",351,1,349,1,-,-,-,-
"S01011717",294,1,283,5,-,1,-,4
"S01011718",289,-,273,1,5,2,-,8
"S01011719",224,3,215,4,-,-,1,1
"S01011720",213,2,203,5,-,-,-,3
"S01011721",305,1,281,20,-,-,-,3
"S01011722",317,-,295,16,-,-,-,6
"S01011723",397,-,386,2,-,-,-,9
"S01011724",261,-,248,10,-,-,1,2
"S01011725",219,2,211,3,-,-,-,3
"S01011726",208,1,203,2,-,-,-,2
"S01011727",261,-,250,2,1,-,1,7
"S01011728",393,8,357,20,1,1,1,5
"S01011729",302,2,271,16,-,1,-,12
"S01011730",431,18,361,44,1,-,1,6
"S01011731",352,2,320,22,1,-,3,4
"S01011732",299,3,288,4,1,-,-,3
"S01011733",352,7,290,49,-,-,-,6
"S01011734",335,4,288,34,-,-,2,7
"S01011735",288,1,267,19,1,-,-,-
"S01011736",317,19,187,103,-,3,2,3
"S01011737",294,12,201,71,-,1,-,9
"S01011738",466,32,276,126,14,5,4,9
"S01011739",226,3,200,12,-,-,1,10
"S01011740",356,7,284,52,-,1,7,5
"S01011741",296,26,124,137,5,3,-,1
"S01011742",333,8,206,112,1,-,1,5
"S01011743",379,6,319,37,-,-,6,11
"S01011744",462,10,226,215,-,-,2,9
"S01011745",398,4,323,59,3,1,2,6
"S01011746",215,6,179,22,-,3,-,5
"S01011747",413,5,354,25,-,4,4,21
"S01011748",375,33,155,174,-,2,1,10
"S01011749",370,34,154,177,-,-,2,3
"S01011750",398,12,278,100,-,-,1,7
"S01011751",532,31,220,275,1,-,1,4
"S01011752",460,19,305,125,1,-,1,9
"S01011753",366,19,216,123,-,-,4,4
"S01011754",339,8,299,25,-,1,-,6
"S01011755",456,8,374,66,-,-,-,8
"S01011756",430,12,354,51,-,-,1,12
"S01011757",327,8,283,28,-,-,2,6
"S01011758",252,7,211,25,-,-,1,8
"S01011759",340,4,299,23,-,-,7,7
"S01011760",411,9,323,67,-,-,1,11
"S01011761",272,4,239,18,-,-,-,11
"S01011762",322,2,302,6,-,2,4,6
"S01011763",350,3,330,11,-,1,-,5
"S01011764",136,-,130,2,1,1,-,2
"S01011765",380,8,354,17,-,-,-,1
"S01011766",209,1,200,5,1,1,-,1
"S01011767",443,9,387,39,-,3,-,5
"S01011768",342,16,252,68,-,1,-,5
"S01011769",321,8,191,118,1,-,-,3
"S01011770",409,14,204,183,-,1,1,6
"S01011771",238,1,232,3,-,-,-,2
"S01011772",390,1,375,10,1,-,-,3
"S01011773",200,-,196,1,-,-,-,3
"S01011774",354,2,278,72,-,-,-,2
"S01011775",228,-,224,4,-,-,-,-
"S01011776",319,-,312,3,-,-,1,3
"S01011777",264,3,230,25,1,-,1,4
"S01011778",261,2,187,70,-,-,1,1
"S01011779",324,1,302,16,1,-,-,4
"S01011780",315,-,305,5,3,-,-,2
"S01011781",214,-,209,3,-,-,-,2
"S01011782",271,-,265,5,-,-,-,1
"S01011783",213,1,209,2,-,-,-,1
"S01011784",349,2,316,21,2,-,1,7
"S01011785",389,-,380,5,-,-,1,3
"S01011786",124,-,120,-,-,1,-,3
"S01011787",483,-,457,11,1,1,-,13
"S01011788",225,-,218,1,4,-,-,2
"S01011789",284,3,42,65,108,35,27,4
"S01011790",404,3,375,5,10,1,2,8
"S01011791",347,1,325,7,-,5,-,9
"S01011792",515,2,474,27,-,1,-,11
"S01011793",327,5,288,11,14,1,2,6
"S01011794",414,2,394,6,1,1,-,10
"S01011795",317,1,292,14,1,-,3,6
"S01011796",354,4,331,6,1,1,3,8
"S01011797",385,2,377,1,1,-,-,4
"S01011798",242,-,229,5,-,4,-,4
"S01011799",357,3,339,8,7,-,-,-
"S01011800",219,1,210,6,-,-,1,1
"S01011801",253,1,243,3,-,-,1,5
"S01011802",361,4,348,2,-,1,-,6
"S01011803",236,3,207,4,14,-,1,7
"S01011804",379,22,3,209,71,48,11,15
"S01011805",279,36,2,125,80,20,1,15
"S01011806",362,15,1,147,147,18,13,21
"S01011807",444,26,2,100,253,27,8,28
"S01011808",287,7,-,137,102,6,14,21
"S01011809",302,16,1,84,132,23,16,30
"S01011810",413,22,1,126,190,28,15,31
"S01011811",436,22,3,84,255,23,10,39
"S01011812",275,11,2,62,155,17,12,16
"S01011813",306,9,5,124,112,10,11,35
"S01011814",297,21,1,53,143,26,18,35
"S01011815",313,5,3,97,150,13,24,21
"S01011816",257,3,-,108,100,6,16,24
"S01011817",294,7,-,79,154,13,10,31
"S01011818",486,7,1,289,130,15,11,33
"S01011819",438,22,1,211,94,75,7,28
"S01011820",319,6,1,147,120,6,19,20
"S01011821",223,10,2,179,22,1,2,7
"S01011822",410,24,4,288,47,16,9,22
"S01011823",290,8,1,170,65,14,8,24
"S01011824",316,5,-,266,27,4,6,8
"S01011825",275,16,1,137,86,16,5,14
"S01011826",320,11,2,176,80,19,10,22
"S01011827",289,22,1,77,110,49,8,22
"S01011828",411,26,-,117,176,30,11,51
"S01011829",195,11,-,54,90,17,10,13
"S01011830",279,37,-,93,103,19,4,23
"S01011831",425,50,7,114,176,30,6,42
"S01011832",405,42,2,141,132,23,28,37
"S01011833",360,7,46,76,154,14,41,22
"S01011834",180,2,73,17,75,4,6,3
"S01011835",278,5,168,6,68,10,11,10
"S01011836",332,5,56,41,195,11,12,12
"S01011837",255,4,49,33,139,7,12,11
"S01011838",327,3,302,9,5,2,1,5
"S01011839",444,1,407,31,2,1,-,2
"S01011840",406,3,371,25,4,-,2,1
"S01011841",415,6,355,37,3,4,-,10
"S01011842",462,4,370,67,2,5,2,12
"S01011843",415,17,82,53,206,7,33,17
"S01011844",295,2,198,18,67,3,2,5
"S01011845",382,4,228,88,35,15,2,10
"S01011846",385,9,240,40,73,5,6,12
"S01011847",178,4,24,11,113,7,15,4
"S01011848",305,10,16,81,169,11,8,10
"S01011849",352,7,18,127,155,22,10,13
"S01011850",314,8,97,92,84,4,9,20
"S01011851",368,23,18,117,141,39,9,21
"S01011852",460,6,376,54,11,1,-,12
"S01011853",304,3,229,55,11,1,1,4
"S01011854",356,2,285,49,13,1,-,6
"S01011855",364,2,302,39,4,5,1,11
"S01011856",309,-,276,11,14,1,2,5
"S01011857",301,9,53,74,115,19,11,20
"S01011858",403,5,248,74,52,6,4,14
"S01011859",446,9,268,125,32,1,2,9
"S01011860",206,8,41,25,101,9,4,18
"S01011861",343,19,165,39,93,7,9,11
"S01011862",425,4,366,40,9,-,2,4
"S01011863",328,8,245,52,11,4,2,6
"S01011864",315,3,277,21,7,-,-,7
"S01011865",291,6,228,41,8,1,-,7
"S01011866",341,1,307,25,5,1,-,2
"S01011867",444,7,358,66,3,2,1,7
"S01011868",416,21,244,133,3,6,1,8
"S01011869",409,19,234,134,3,5,3,11
"S01011870",315,16,180,96,9,2,-,12
"S01011871",438,19,153,87,140,11,8,20
"S01011872",365,11,105,42,155,13,17,22
"S01011873",339,12,218,33,52,8,2,14
"S01011874",285,8,229,32,11,1,2,2
"S01011875",322,6,223,74,10,3,2,4
"S01011876",398,15,228,33,89,13,4,16
"S01011877",262,14,173,42,22,4,2,5
"S01011878",379,8,130,45,159,11,11,15
"S01011879",218,6,32,30,122,4,16,8
"S01011880",241,12,17,50,119,17,9,17
"S01011881",371,5,232,115,10,1,2,6
"S01011882",450,4,330,99,7,2,1,7
"S01011883",439,6,297,44,73,4,5,10
"S01011884",169,8,25,23,89,9,7,8
"S01011885",270,12,13,30,201,5,5,4
"S01011886",368,5,41,100,184,13,7,18
"S01011887",230,2,203,16,5,-,1,3
"S01011888",369,2,328,27,2,1,-,9
"S01011889",430,6,300,112,6,-,1,5
"S01011890",300,11,239,43,1,1,-,5
"S01011891",378,9,205,156,1,-,1,6
"S01011892",503,14,374,101,5,1,1,7
"S01011893",500,14,302,169,2,-,1,12
"S01011894",291,10,240,34,3,-,1,3
"S01011895",305,5,279,16,1,-,-,4
"S01011896",421,10,350,50,4,1,1,5
"S01011897",436,3,381,32,8,1,1,10
"S01011898",246,1,233,7,5,-,-,-
"S01011899",352,1,314,35,-,-,-,2
"S01011900",293,-,272,10,8,1,-,2
"S01011901",397,5,349,33,5,-,-,5
"S01011902",465,5,408,42,4,2,-,4
"S01011903",352,5,310,24,6,-,-,7
"S01011904",324,1,305,14,2,1,-,1
"S01011905",280,-,255,19,1,1,-,4
"S01011906",201,1,160,35,2,1,-,2
"S01011907",338,5,247,82,1,-,1,2
"S01011908",147,1,135,8,-,-,1,2
"S01011909",404,-,358,41,1,-,1,3
"S01011910",464,6,327,106,4,1,-,20
"S01011911",285,4,202,72,1,2,-,4
"S01011912",327,3,224,86,-,1,2,11
"S01011913",365,6,261,84,1,1,-,12
"S01011914",360,7,272,73,1,-,-,7
"S01011915",337,3,233,95,2,1,1,2
"S01011916",232,7,170,49,1,1,1,3
"S01011917",232,7,138,76,2,3,1,5
"S01011918",368,8,155,194,3,-,2,6
"S01011919",390,8,298,70,-,-,1,13
"S01011920",291,2,239,41,1,1,1,6
"S01011921",285,2,177,97,1,2,-,6
"S01011922",356,12,178,159,-,-,2,5
"S01011923",383,1,323,46,2,1,-,10
"S01011924",206,2,124,76,-,1,-,3
"S01011925",264,6,232,17,4,1,1,3
"S01011926",298,5,184,98,4,-,1,6
"S01011927",285,1,206,69,3,-,2,4
"S01011928",338,7,204,98,15,6,1,7
"S01011929",319,2,218,86,2,1,3,7
"S01011930",294,-,165,119,1,-,2,7
"S01011931",250,1,193,29,6,1,10,10
"S01011932",300,4,248,38,3,1,1,5
"S01011933",344,12,240,78,3,3,2,6
"S01011934",520,14,407,93,-,1,-,5
"S01011935",459,45,197,193,4,1,16,3
"S01011936",380,20,227,121,4,-,2,6
"S01011937",408,11,284,105,1,-,-,7
"S01011938",400,9,275,107,6,-,-,3
"S01011939",446,18,234,175,3,3,2,11
"S01011940",266,21,129,101,4,3,5,3
"S01011941",441,47,157,225,1,-,2,9
"S01011942",573,42,227,295,-,-,4,5
"S01011943",715,65,278,336,4,3,14,15
"S01011944",188,2,121,11,42,2,4,6
"S01011945",313,3,286,11,6,1,1,5
"S01011946",377,14,176,169,7,-,2,9
"S01011947",214,4,202,4,2,-,-,2
"S01011948",527,12,361,139,3,3,2,7
"S01011949",392,4,344,28,10,-,-,6
"S01011950",348,3,248,87,2,-,1,7
"S01011951",306,5,214,68,5,3,2,9
"S01011952",200,1,188,4,3,-,2,2
"S01011953",325,4,278,17,17,1,1,7
"S01011954",230,1,165,52,5,2,-,5
"S01011955",467,12,361,73,8,4,2,7
"S01011956",392,6,257,52,54,8,5,10
"S01011957",325,20,104,75,91,12,9,14
"S01011958",481,10,202,99,125,10,7,28
"S01011959",365,19,75,93,140,9,11,18
"S01011960",325,9,178,35,64,14,11,14
"S01011961",311,3,228,60,11,1,1,7
"S01011962",264,4,58,20,156,6,11,9
"S01011963",231,3,163,60,-,2,1,2
"S01011964",453,17,276,104,39,7,1,9
"S01011965",381,6,309,52,9,1,-,4
"S01011966",351,11,248,44,30,2,7,9
"S01011967",420,8,182,71,122,5,12,20
"S01011968",478,16,388,61,4,-,1,8
"S01011969",480,12,251,150,44,8,2,13
"S01011970",432,18,301,94,7,6,-,6
"S01011971",243,7,174,31,24,3,-,4
"S01011972",512,21,133,68,232,26,8,24
"S01011973",272,5,149,25,64,8,5,16
"S01011974",320,12,208,29,56,5,3,7
"S01011975",199,4,120,20,40,2,1,12
"S01011976",353,6,278,44,10,1,3,11
"S01011977",508,15,308,77,70,16,3,19
"S01011978",351,2,290,40,3,2,3,11
"S01011979",397,12,207,53,90,7,12,16
"S01011980",182,8,56,15,89,4,2,8
"S01011981",396,24,34,87,176,38,9,28
"S01011982",414,24,47,53,207,38,7,38
"S01011983",351,16,71,108,104,22,10,20
"S01011984",315,2,180,112,7,2,-,12
"S01011985",293,13,219,44,8,-,1,8
"S01011986",320,3,174,122,8,1,4,8
"S01011987",403,5,296,80,10,1,2,9
"S01011988",297,4,240,25,16,-,1,11
"S01011989",379,2,343,18,9,-,-,7
"S01011990",364,1,322,32,2,-,2,5
"S01011991",298,4,249,26,12,-,-,7
"S01011992",472,14,337,90,12,-,-,19
"S01011993",460,12,206,238,-,-,1,3
"S01011994",305,3,272,12,10,1,-,7
"S01011995",324,5,14,67,212,4,8,14
"S01011996",254,-,8,162,62,9,7,6
"S01011997",422,14,13,236,121,9,11,18
"S01011998",220,14,6,24,168,3,2,3
"S01011999",291,18,19,85,122,15,6,26
"S01012000",198,2,10,89,82,1,2,12
"S01012001",296,1,11,149,110,6,2,17
"S01012002",243,4,192,38,1,2,-,6
"S01012003",241,5,195,34,4,-,1,2
"S01012004",398,9,36,204,119,8,5,17
"S01012005",334,7,113,123,49,4,31,7
"S01012006",280,11,50,35,146,19,5,14
"S01012007",374,11,237,80,31,1,4,10
"S01012008",421,21,198,73,93,14,3,19
"S01012009",300,15,41,99,97,22,6,20
"S01012010",524,7,406,77,20,2,1,11
"S01012011",537,15,245,240,24,2,2,9
"S01012012",320,5,75,119,89,8,10,14
"S01012013",357,13,96,88,114,10,11,25
"S01012014",402,8,221,143,20,-,1,9
"S01012015",420,6,294,77,25,1,1,16
"S01012016",360,12,30,101,147,27,9,34
"S01012017",221,13,19,40,111,12,8,18
"S01012018",374,22,88,69,111,33,14,37
"S01012019",371,11,304,36,4,-,4,12
"S01012020",361,7,254,90,2,1,1,6
"S01012021",225,2,213,7,1,-,-,2
"S01012022",289,3,256,18,-,1,-,11
"S01012023",228,6,115,8,68,9,13,9
"S01012024",363,3,341,11,-,1,2,5
"S01012025",288,2,275,6,1,-,2,2
"S01012026",211,1,200,6,-,-,-,4
"S01012027",311,4,237,13,40,3,8,6
"S01012028",375,1,349,15,5,-,-,5
"S01012029",418,8,336,14,39,3,7,11
"S01012030",249,6,147,12,50,7,11,16
"S01012031",231,1,217,7,3,-,-,3
"S01012032",142,2,47,5,66,-,11,11
"S01012033",373,3,346,17,-,-,1,6
"S01012034",386,11,336,28,2,-,2,7
"S01012035",431,13,369,44,2,-,-,3
"S01012036",385,4,360,12,3,-,1,5
"S01012037",438,8,362,59,-,-,3,6
"S01012038",366,1,344,5,1,1,2,12
"S01012039",413,9,385,11,-,-,1,7
"S01012040",255,5,228,17,-,-,3,2
"S01012041",382,5,331,40,-,-,-,6
"S01012042",408,2,374,24,-,-,1,7
"S01012043",380,1,347,11,2,-,-,19
"S01012044",474,8,427,23,-,1,-,15
"S01012045",583,15,457,93,-,-,1,17
"S01012046",376,1,321,42,-,-,1,11
"S01012047",548,14,338,187,-,1,2,6
"S01012048",402,2,317,75,-,-,1,7
"S01012049",347,20,297,25,-,-,-,5
"S01012050",423,4,384,31,1,-,-,3
"S01012051",255,-,233,18,1,-,1,2
"S01012052",469,8,393,63,-,-,1,4
"S01012053",461,11,401,36,-,-,1,12
"S01012054",443,12,388,33,1,-,3,6
"S01012055",463,4,417,33,1,-,-,8
"S01012056",354,3,307,30,-,-,8,6
"S01012057",316,5,297,9,-,1,-,4
"S01012058",328,1,319,4,2,1,-,1
"S01012059",412,6,381,21,-,-,-,4
"S01012060",408,4,339,58,1,-,-,6
"S01012061",440,11,410,9,2,2,1,5
"S01012062",335,5,307,20,-,-,-,3
"S01012063",235,1,199,31,-,-,-,4
"S01012064",276,8,209,50,-,-,-,9
"S01012065",261,2,215,20,-,-,-,24
"S01012066",382,13,330,20,-,-,3,16
"S01012067",250,4,207,19,-,-,1,19
"S01012068",268,6,217,25,-,-,4,16
"S01012069",292,13,254,12,-,-,2,11
"S01012070",449,20,355,55,-,-,3,16
"S01012071",692,54,421,197,-,1,4,15
"S01012072",722,27,468,203,-,-,4,20
"S01012073",320,3,227,84,-,-,-,6
"S01012074",343,5,225,104,-,-,2,7
"S01012075",269,5,258,6,-,-,-,-
"S01012076",382,5,342,29,-,-,-,6
"S01012077",363,7,262,88,-,-,-,6
"S01012078",367,13,321,27,1,-,2,3
"S01012079",448,17,345,78,-,-,-,8
"S01012080",352,4,332,6,-,-,4,6
"S01012081",387,19,317,32,-,-,2,17
"S01012082",323,7,293,14,1,-,4,4
"S01012083",383,6,316,53,-,-,2,6
"S01012084",238,3,225,7,-,-,-,3
"S01012085",301,4,262,32,-,-,2,1
"S01012086",448,5,387,50,-,-,1,5
"S01012087",364,8,323,28,-,-,-,5
"S01012088",286,11,230,45,-,-,-,-
"S01012089",357,13,313,26,-,-,1,4
"S01012090",356,-,340,8,1,-,1,6
"S01012091",244,9,226,8,-,-,-,1
"S01012092",214,2,204,7,-,-,1,-
"S01012093",295,9,180,102,-,-,-,4
"S01012094",317,8,301,3,3,-,1,1
"S01012095",410,6,339,57,-,-,4,4
"S01012096",388,5,346,30,-,1,1,5
"S01012097",279,4,260,13,-,-,-,2
"S01012098",277,7,248,11,-,2,-,9
"S01012099",348,10,289,46,-,-,-,3
"S01012100",493,10,453,23,-,-,-,7
"S01012101",311,1,299,7,-,-,1,3
"S01012102",319,8,286,19,-,-,-,6
"S01012103",425,7,389,22,-,2,-,5
"S01012104",345,2,330,3,3,-,-,7
"S01012105",492,1,458,23,1,1,2,6
"S01012106",497,18,392,84,-,-,1,2
"S01012107",279,5,249,17,1,1,2,4
"S01012108",632,48,243,161,9,2,163,6
"S01012109",560,30,375,132,-,-,5,18
"S01012110",458,21,325,98,-,1,3,10
"S01012111",309,6,271,25,-,-,5,2
"S01012112",423,6,363,42,1,-,1,10
"S01012113",511,11,445,47,1,-,2,5
"S01012114",357,4,329,17,1,1,2,3
"S01012115",257,5,231,20,-,-,-,1
"S01012116",283,6,248,21,-,-,1,7
"S01012117",289,1,278,4,1,-,-,5
"S01012118",226,1,221,3,-,-,-,1
"S01012119",349,5,327,13,1,-,1,2
"S01012120",256,16,189,44,1,-,1,5
"S01012121",404,7,370,16,-,1,-,10
"S01012122",318,5,293,13,-,1,3,3
"S01012123",212,13,173,21,1,-,1,3
"S01012124",262,4,245,10,-,-,-,3
"S01012125",504,12,368,103,-,-,8,13
"S01012126",389,15,275,85,-,-,3,11
"S01012127",552,61,360,110,-,-,8,13
"S01012128",278,3,253,15,-,1,1,5
"S01012129",440,33,332,63,4,-,1,7
"S01012130",687,9,330,297,7,-,33,11
"S01012131",610,45,352,109,6,2,80,16
"S01012132",426,14,328,75,-,-,1,8
"S01012133",421,19,354,31,-,-,2,15
"S01012134",606,15,427,155,-,-,-,9
"S01012135",570,17,478,54,-,-,3,18
"S01012136",516,30,405,60,-,-,1,20
"S01012137",463,10,340,90,-,-,9,14
"S01012138",460,10,425,18,1,-,2,4
"S01012139",462,3,441,13,-,-,-,5
"S01012140",205,1,197,4,2,-,-,1
"S01012141",412,5,387,17,2,-,1,-
"S01012142",395,4,375,8,-,1,-,7
"S01012143",376,4,365,4,3,-,-,-
"S01012144",449,6,428,11,-,-,1,3
"S01012145",399,2,380,9,2,-,-,6
"S01012146",572,4,533,18,-,-,3,14
"S01012147",407,9,370,17,-,-,4,7
"S01012148",364,9,263,73,-,1,5,13
"S01012149",335,9,261,61,-,-,1,3
"S01012150",359,15,282,54,-,-,-,8
"S01012151",397,7,348,31,1,-,4,6
"S01012152",362,8,331,14,1,-,2,6
"S01012153",329,22,249,49,-,-,2,7
"S01012154",513,29,285,179,1,-,7,12
"S01012155",357,21,252,68,-,-,5,11
"S01012156",372,13,259,94,-,-,3,3
"S01012157",487,21,325,135,-,-,-,6
"S01012158",487,17,353,107,-,-,-,10
"S01012159",229,3,218,8,-,-,-,-
"S01012160",293,1,280,8,-,1,1,2
"S01012161",208,4,186,14,-,-,1,3
"S01012162",386,3,354,18,-,-,-,11
"S01012163",384,7,332,36,-,-,4,5
"S01012164",413,-,395,7,-,-,1,10
"S01012165",452,20,328,96,-,1,-,7
"S01012166",292,18,190,74,2,-,-,8
"S01012167",425,12,357,50,1,-,1,4
"S01012168",379,8,338,33,-,-,-,-
"S01012169",429,10,390,25,-,-,-,4
"S01012170",543,13,405,119,-,-,3,3
"S01012171",470,4,434,17,-,-,5,10
"S01012172",360,5,256,89,-,1,2,7
"S01012173",289,1,271,10,1,-,1,5
"S01012174",301,3,289,-,1,-,1,7
"S01012175",385,13,340,25,-,-,1,6
"S01012176",367,7,339,14,-,-,-,7
"S01012177",242,3,231,4,-,-,-,4
"S01012178",212,5,206,1,-,-,-,-
"S01012179",301,9,201,83,2,-,2,4
"S01012180",273,3,242,20,-,-,1,7
"S01012181",384,10,339,27,2,-,-,6
"S01012182",431,2,386,30,1,-,2,10
"S01012183",408,11,335,50,-,-,1,11
"S01012184",280,-,268,6,-,-,1,5
"S01012185",506,42,366,89,-,-,1,8
"S01012186",344,6,305,24,-,-,-,9
"S01012187",382,15,287,71,1,-,1,7
"S01012188",252,2,236,11,1,-,-,2
"S01012189",245,-,237,2,-,1,1,4
"S01012190",210,2,206,1,-,-,-,1
"S01012191",322,3,297,15,1,-,2,4
"S01012192",187,-,180,5,-,-,1,1
"S01012193",175,-,168,2,-,-,3,2
"S01012194",179,-,175,-,-,-,2,2
"S01012195",423,-,411,1,-,-,2,9
"S01012196",211,-,184,26,-,-,-,1
"S01012197",311,1,302,4,-,-,1,3
"S01012198",403,6,377,15,-,-,1,4
"S01012199",309,-,299,3,-,-,4,3
"S01012200",278,2,271,2,-,-,1,2
"S01012201",318,3,306,1,-,1,4,3
"S01012202",239,5,228,2,-,-,1,3
"S01012203",316,1,298,7,5,-,-,5
"S01012204",270,-,264,1,-,-,3,2
"S01012205",273,-,263,4,1,-,1,4
"S01012206",317,4,298,8,-,-,3,4
"S01012207",401,5,372,19,-,-,1,4
"S01012208",457,3,422,19,-,-,2,11
"S01012209",318,5,278,22,-,-,6,7
"S01012210",385,6,317,51,2,-,1,8
"S01012211",408,7,359,28,1,3,1,9
"S01012212",304,2,297,2,-,-,-,3
"S01012213",336,2,326,2,1,-,-,5
"S01012214",282,1,273,6,1,-,-,1
"S01012215",329,2,322,2,-,-,-,3
"S01012216",282,4,268,3,3,-,-,4
"S01012217",267,18,199,36,1,-,2,11
"S01012218",228,24,125,70,-,-,1,8
"S01012219",415,7,380,17,-,-,-,11
"S01012220",367,17,95,246,1,-,2,6
"S01012221",332,3,285,35,2,-,1,6
"S01012222",402,9,352,34,-,-,-,7
"S01012223",360,5,314,24,-,1,4,12
"S01012224",333,8,276,38,-,1,1,9
"S01012225",459,13,384,49,1,-,1,11
"S01012226",287,6,251,25,-,-,2,3
"S01012227",260,4,233,18,-,2,-,3
"S01012228",252,8,223,16,1,-,-,4
"S01012229",323,3,312,4,1,-,-,3
"S01012230",392,4,381,2,2,-,-,3
"S01012231",289,1,281,1,2,-,-,4
"S01012232",318,-,312,3,-,-,-,3
"S01012233",341,2,326,9,1,-,-,3
"S01012234",393,5,375,10,1,-,-,2
"S01012235",192,1,185,2,1,-,1,2
"S01012236",278,3,247,16,2,-,-,10
"S01012237",319,3,303,3,3,-,-,7
"S01012238",309,13,245,43,2,1,1,4
"S01012239",274,5,245,18,1,-,-,5
"S01012240",391,4,358,19,2,1,2,5
"S01012241",232,1,218,6,2,-,-,5
"S01012242",307,-,291,6,4,-,-,6
"S01012243",244,4,222,8,4,1,-,5
"S01012244",347,11,28,42,211,23,13,19
"S01012245",335,4,17,105,178,18,6,7
"S01012246",301,3,13,65,199,6,6,9
"S01012247",303,10,53,48,136,20,22,14
"S01012248",332,11,41,44,176,21,16,23
"S01012249",365,16,30,72,180,39,13,15
"S01012250",301,14,95,18,131,11,9,23
"S01012251",457,16,344,71,6,8,-,12
"S01012252",333,5,274,44,4,2,1,3
"S01012253",508,20,352,115,4,1,6,10
"S01012254",399,15,328,37,3,2,1,13
"S01012255",475,12,313,134,8,1,1,6
"S01012256",327,2,309,5,2,2,-,7
"S01012257",412,7,318,81,3,-,1,2
"S01012258",297,-,285,2,4,-,-,6
"S01012259",277,3,251,13,2,-,1,7
"S01012260",368,6,319,33,1,2,2,5
"S01012261",322,2,309,5,-,2,-,4
"S01012262",343,24,105,19,124,45,7,19
"S01012263",366,13,293,41,6,-,1,12
"S01012264",222,7,182,21,3,4,-,5
"S01012265",340,3,282,42,2,2,-,9
"S01012266",536,8,454,46,4,6,2,16
"S01012267",318,5,287,12,5,3,1,5
"S01012268",265,12,51,35,119,24,7,17
"S01012269",461,8,319,88,33,3,4,6
"S01012270",348,12,114,127,41,24,1,29
"S01012271",421,26,80,36,199,42,12,26
"S01012272",305,14,38,78,121,14,17,23
"S01012273",297,4,201,32,37,4,3,16
"S01012274",432,16,319,79,5,2,3,8
"S01012275",450,30,273,137,2,-,-,8
"S01012276",463,13,379,55,4,1,1,10
"S01012277",482,17,358,87,6,2,-,12
"S01012278",401,16,282,93,2,2,-,6
"S01012279",407,16,269,108,1,1,-,12
"S01012280",409,6,269,120,3,2,1,8
"S01012281",371,18,260,81,-,-,1,11
"S01012282",466,6,304,127,6,3,3,17
"S01012283",369,2,249,102,9,3,1,3
"S01012284",436,15,237,166,3,1,2,12
"S01012285",266,3,241,14,7,-,1,-
"S01012286",493,9,215,237,17,4,5,6
"S01012287",479,12,301,143,4,-,-,19
"S01012288",377,7,289,69,3,2,1,6
"S01012289",411,1,343,32,21,2,-,12
"S01012290",292,7,206,64,6,2,1,6
"S01012291",421,2,362,38,3,4,4,8
"S01012292",341,6,270,51,7,1,-,6
"S01012293",212,1,185,17,3,-,2,4
"S01012294",371,2,350,8,1,-,1,9
"S01012295",280,-,269,4,-,-,-,7
"S01012296",330,5,287,13,9,3,-,13
"S01012297",253,14,23,17,139,23,12,25
"S01012298",374,8,330,19,6,2,3,6
"S01012299",257,11,39,27,136,18,13,13
"S01012300",294,7,25,106,84,50,10,12
"S01012301",407,23,99,66,139,38,8,34
"S01012302",240,19,35,28,86,43,6,23
"S01012303",378,16,95,37,159,35,17,19
"S01012304",424,14,67,106,146,55,11,25
"S01012305",333,7,231,57,12,3,9,14
"S01012306",308,1,216,67,7,4,3,10
"S01012307",323,4,233,68,7,3,1,7
"S01012308",334,1,268,45,5,7,-,8
"S01012309",245,3,168,48,10,10,-,6
"S01012310",427,27,130,65,122,50,9,24
"S01012311",263,6,30,85,98,23,8,13
"S01012312",439,23,54,99,181,40,13,29
"S01012313",345,12,70,105,102,26,20,10
"S01012314",365,3,308,23,5,12,2,12
"S01012315",400,9,298,67,6,2,1,17
"S01012316",315,4,286,8,3,1,1,12
"S01012317",209,-,189,8,-,3,1,8
"S01012318",329,3,298,8,3,-,7,10
"S01012319",343,35,68,55,125,20,12,28
"S01012320",276,11,23,110,53,61,9,9
"S01012321",339,9,96,129,65,21,8,11
"S01012322",453,25,51,51,237,46,13,30
"S01012323",403,15,57,63,195,26,17,30
"S01012324",365,26,55,36,171,60,1,16
"S01012325",301,3,268,19,2,3,1,5
"S01012326",310,9,257,27,6,4,3,4
"S01012327",366,2,278,62,9,5,2,8
