Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01007044",306,7,10,85,159,25,6,14
"S01007045",325,17,30,18,213,23,10,14
"S01007046",259,5,25,47,141,19,10,12
"S01007047",261,12,20,25,161,17,7,19
"S01007048",359,11,25,30,242,32,9,10
"S01007049",415,8,9,155,168,51,6,18
"S01007050",295,5,12,66,164,21,5,22
"S01007051",332,7,21,131,149,11,2,11
"S01007052",233,7,20,46,127,15,10,8
"S01007053",191,8,11,17,129,13,2,11
"S01007054",434,14,15,135,214,36,3,17
"S01007055",196,10,10,10,138,10,6,12
"S01007056",221,9,20,18,137,16,4,17
"S01007057",247,2,188,31,19,1,2,4
"S01007058",288,7,202,59,14,-,-,6
"S01007059",433,9,229,108,71,5,6,5
"S01007060",231,2,68,136,20,2,-,3
"S01007061",346,10,25,33,232,12,11,23
"S01007062",272,8,23,18,177,20,4,22
"S01007063",282,9,24,66,161,12,7,3
"S01007064",253,8,29,47,138,17,6,8
"S01007065",249,4,124,16,80,5,8,12
"S01007066",252,15,57,21,128,17,6,8
"S01007067",254,3,222,14,4,4,1,6
"S01007068",329,8,170,128,19,2,-,2
"S01007069",338,6,262,16,38,5,2,9
"S01007070",247,6,183,40,8,1,-,9
"S01007071",356,8,254,64,15,3,-,12
"S01007072",246,3,235,2,6,-,-,-
"S01007073",358,2,330,11,10,-,-,5
"S01007074",292,4,264,16,5,-,1,2
"S01007075",305,4,202,93,3,-,-,3
"S01007076",289,2,264,8,3,2,4,6
"S01007077",311,5,272,22,2,-,1,9
"S01007078",398,1,364,13,6,-,1,13
"S01007079",522,6,468,25,6,1,-,16
"S01007080",386,1,353,16,2,2,1,11
"S01007081",370,3,334,12,8,4,1,8
"S01007082",233,4,215,7,-,-,1,6
"S01007083",451,8,393,27,5,4,1,13
"S01007084",273,3,253,5,3,-,1,8
"S01007085",366,9,309,29,6,2,-,11
"S01007086",573,26,447,62,6,-,1,31
"S01007087",439,17,350,52,5,-,3,12
