Scenario (Short Name),Licence Area,Substation Name,Supply Voltage (kV),Voltage (kV),BSP Group,GSP,Substation Location,2022 Thermal Demand Headroom (MW),2023 Thermal Demand Headroom (MW),2024 Thermal Demand Headroom (MW),2025 Thermal Demand Headroom (MW),2026 Thermal Demand Headroom (MW),2027 Thermal Demand Headroom (MW),2028 Thermal Demand Headroom (MW),2029 Thermal Demand Headroom (MW),2030 Thermal Demand Headroom (MW),2031 Thermal Demand Headroom (MW),2035 Thermal Demand Headroom (MW),2040 Thermal Demand Headroom (MW),2045 Thermal Demand Headroom (MW),2050 Thermal Demand Headroom (MW),Bulk Supply Point or Primary,Scenario Full name,Output parameter,X,Y,location
ST (DFES),NPgN,ACKLAM,33.0,11.0,Bowesfield,NORTON,TS5  7LD,4.621049021419836,4.852836840735243,4.98017826281545,4.997245255856367,4.879708800832603,4.647306302606186,4.336365886660609,3.9200053774478185,3.549746637317071,3.0763713967603543,0.6995015465249921,-3.6103392307325066,-6.741080869797177,-10.069247249080437,Primary,NG FES - System Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),448851.0,517206.0,"54.54775848234011, -1.2463262787194387"
Best View Plan (PS),NPgN,AMBERTON ROAD,66.0,11.0,Hartmoor,HARTMOOR,TS24 8PQ,17.229131778509096,17.36021862962663,17.40472091395716,17.32827875612009,17.172175242700302,16.89596240295666,16.485555234887542,15.705859968034108,14.9552772628181,14.180000830434441,10.90088049178993,6.8136397872389125,3.7326776449555368,1.9595413912951472,Primary,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),450748.0,533791.0,"54.69660306358455, -1.2141374156238913"
Best View Plan (PS),NPgN,ANNFIELD,132.0,66.0,Annfield,STELLA SOUTH,DH9 7XW,33.5945416503309,33.66269669707636,33.48024362460484,32.99918349046579,32.24260324243755,31.116261395303894,29.5964359443567,26.782925232228074,24.213071003825824,21.444557669756747,9.929910403972599,-3.551222110605437,-12.195884854034688,-16.34093973216683,BSP,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),417300.0,550633.0,"54.85020446050544, -1.7320913207130229"
CT (DFES),NPgN,ANNFIELD,132.0,66.0,Annfield,STELLA SOUTH,DH9 7XW,34.809791249919975,35.75776928183782,35.95691861087097,35.8360656085346,35.08438769065352,34.187366620467714,32.925118466898624,31.04308643562524,28.818329567044508,25.807658613695885,13.146137425201218,1.4102553599680334,-2.279206713689561,-2.081721961365986,BSP,NG FES - Consumer Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),417300.0,550633.0,"54.85020446050544, -1.7320913207130229"
LTW (DFES),NPgN,ANNFIELD,132.0,66.0,Annfield,STELLA SOUTH,DH9 7XW,35.765571264193966,37.24047386278041,37.71891930155654,37.70333509896909,36.79703197050215,35.80858306038857,34.27260564798108,32.480815893782285,30.363271578153615,26.79152063521463,15.627468701485839,8.143391879458648,8.577332108334147,10.455822074655984,BSP,NG FES - Leading the Way (DFES NPg regionalised),Network Capacity Demand Headroom (MW),417300.0,550633.0,"54.85020446050544, -1.7320913207130229"
Best View Plan (PS),NPgN,ANNFIELD 66/20KV,66.0,20.0,Annfield,STELLA SOUTH,DH9  7XW,8.402247053775326,8.434730261065372,8.376682129065529,8.202881161763393,7.93999543074165,7.548049245627947,7.015456387493536,5.917936041613746,4.969789152707005,3.927516119010882,-0.3469340243620671,-5.490761307768594,-8.928135947398076,-10.64002164224516,Primary,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),417300.0,550633.0,"54.85020446050544, -1.7320913207130229"
ST (DFES),NPgN,ANNFIELD 66/20KV,66.0,20.0,Annfield,STELLA SOUTH,DH9  7XW,8.302373459847459,8.564350377677705,8.72142883705822,8.745224273664569,8.625892793955575,8.398030222796969,8.089141551746284,7.679129538235486,7.304825735386018,6.819333496631462,4.325016788751622,-1.0320758478546495,-4.969441841483125,-8.815446990680833,Primary,NG FES - System Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),417300.0,550633.0,"54.85020446050544, -1.7320913207130229"
FS (DFES),NPgN,ANNFIELD 66/20KV,66.0,20.0,Annfield,STELLA SOUTH,DH9  7XW,7.515112756595595,7.394745852467871,7.31628037257892,7.259179864100993,7.2528090014058435,7.114469902363371,6.887421007486463,6.576467576747291,6.256979356494494,5.854144205027705,3.7526007943050743,-1.2295630592288163,-6.131116181117747,-10.313453636610703,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),417300.0,550633.0,"54.85020446050544, -1.7320913207130229"
Best View Plan (PS),NPgN,ASHINGTON,66.0,11.0,Blyth 66kV,BLYTH 66kV,NE63 8UJ,6.767386247811917,6.732304547806354,6.611375971967913,6.327461896718585,5.982513161606526,5.520602664887154,4.902065187587095,3.691971249890507,2.6470933595506416,1.5455036147857228,-3.0697634393186135,-8.45616803131248,-11.986508717839186,-13.779155072532944,Primary,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),427518.0,586462.0,"55.17170482503881, -1.5695248666081763"
CT (DFES),NPgN,ASHINGTON,66.0,11.0,Blyth 66kV,BLYTH 66kV,NE63 8UJ,6.998728011483934,7.157680551172994,7.1215235089971145,6.975119086137823,6.594095954770513,6.162712865271786,5.586199404067031,4.741401577685096,3.754383234757608,2.4450882155373748,-2.982383175070485,-7.838851526352844,-9.546754430657856,-9.741196583320132,Primary,NG FES - Consumer Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),427518.0,586462.0,"55.17170482503881, -1.5695248666081763"
ST (DFES),NPgN,ASHINGTON,66.0,11.0,Blyth 66kV,BLYTH 66kV,NE63 8UJ,6.601469459669637,6.688739047401455,6.693638729292122,6.598788712441429,6.391491601066086,6.07151064687061,5.667182622982516,5.147258940670227,4.672852135374395,4.069635072488534,1.042996908920557,-4.8625515853280135,-9.153405670790285,-13.244910272628992,Primary,NG FES - System Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),427518.0,586462.0,"55.17170482503881, -1.5695248666081763"
FS (DFES),NPgN,AYCLIFFE FORREST,33.0,11.0,Darlington North,NORTON,DL1 3NL,24.31747398607176,24.31439630438483,24.31131659068768,24.308235186549457,24.305151034948693,24.302062844749152,24.298969574994626,24.2958696537267,24.29277269193234,24.303207631121168,24.344376145073596,24.394569495745387,24.44358764623754,24.491593747801595,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),428138.0,521371.0,"54.58675762553991, -1.5661172110860075"
Best View Plan (PS),NPgN,AYCLIFFE INDUSTRIAL,33.0,11.0,Darlington North,NORTON,DL5  6HY,7.119368110084535,7.131669011247874,7.099250405523319,6.998055605660587,6.8903648026842195,6.723357085561746,6.480617881502605,6.038976764509631,5.60827694635341,5.183349859300709,3.24991271035252,1.0975963493547312,-0.20155510703717283,-0.7900230778955724,Primary,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),428180.0,524113.0,"54.61139626069424, -1.5652050529391355"
ST (DFES),NPgN,BARDEN FRIAR,33.0,20.0,Leeming Bar_Skeeby,NORTON,DL8  5JR,4.287736750398043,4.28905078284521,4.286628428667324,4.276108057590135,4.254394725585961,4.224039736013191,4.183665748521938,4.13590754046106,4.087663731760005,4.031961931200395,3.784767194883944,3.401663820940877,3.2714625086175944,3.18559579361673,Primary,NG FES - System Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),413453.0,493595.0,"54.3377382553703, -1.7945973888652424"
LTW (DFES),NPgN,BARDEN FRIAR,33.0,20.0,Leeming Bar_Skeeby,NORTON,DL8  5JR,4.311013642591105,4.308092345128711,4.286550178757714,4.252184635901697,4.214193792999455,4.174167999697992,4.115219063489586,4.059513427047293,4.002900963783487,3.920774837959319,3.6514013556592237,3.5649779915694184,3.538594645286974,3.527418724973812,Primary,NG FES - Leading the Way (DFES NPg regionalised),Network Capacity Demand Headroom (MW),413453.0,493595.0,"54.3377382553703, -1.7945973888652424"
LTW (DFES),NPgN,BARRACK ROAD,132.0,33.0,Barrack Road,STELLA NORTH,NE4 6DB,45.75221795357187,46.96098848763022,47.8796353558771,48.67861591623026,49.27594948463722,49.780585408199755,50.14113752227521,50.508524673301665,50.8247645538326,49.84942305932228,46.58694250658834,43.51623804486994,42.53339356925042,42.34664312992706,BSP,NG FES - Leading the Way (DFES NPg regionalised),Network Capacity Demand Headroom (MW),424127.0,564537.0,"54.974866221682966, -1.6246078146054705"
Best View Plan (PS),NPgN,BEDALE,33.0,11.0,Leeming Bar_Skeeby,NORTON,DL8  1AH,3.381289230450335,3.455354063642911,3.497292940853928,3.5152149612857713,3.3640017819367003,3.0901516118955996,2.664974981102201,2.5341425663692867,2.04461675422942,1.6402130579023044,-0.42801120691140326,-2.919059721990852,-4.6586372241715175,-5.7408329111229754,Primary,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),426752.0,488362.0,"54.29018855270453, -1.5905305713519269"
ST (DFES),NPgN,BEDALE,33.0,11.0,Leeming Bar_Skeeby,NORTON,DL8  1AH,3.1377917159019475,3.1799928253066376,3.1851883519298028,3.1342883866412237,3.027695923781586,2.871607109501273,2.6839765310043546,2.4618682049307523,2.2461472459792837,1.930159516555669,0.46487578724495293,-2.1712931854228223,-4.084867748279482,-5.958165315661578,Primary,NG FES - System Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),426752.0,488362.0,"54.29018855270453, -1.5905305713519269"
